Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100n","C_0805_2012Metric",-209.925000,-108.900000,-90.000000,bottom
"C3","1u","C_0402_1005Metric",-198.560000,-100.010000,-90.000000,bottom
"C4","10uF","C_0603_1608Metric",-145.450000,-120.150000,0.000000,bottom
"C5","10uF","C_0603_1608Metric",-170.317500,-119.980000,0.000000,bottom
"C6","100nF","C_0402_1005Metric",-147.300000,-115.150000,0.000000,bottom
"C7","100nF","C_0402_1005Metric",-171.967500,-115.080000,0.000000,bottom
"C8","10uF","C_0603_1608Metric",-144.500000,-115.000000,180.000000,bottom
"C9","10uF","C_0603_1608Metric",-169.267500,-114.930000,180.000000,bottom
"C10","100n","C_0402_1005Metric",-205.110000,-98.460000,-90.000000,bottom
"C14","0.1uF","C_0402_1005Metric",-170.175000,-102.150000,180.000000,bottom
"C15","0.1uF","C_0402_1005Metric",-178.830000,-99.780000,90.000000,bottom
"C17","0.1uF","C_0402_1005Metric",-184.800000,-96.400000,0.000000,bottom
"C20","0.1uF","C_0402_1005Metric",-180.620000,-92.290000,-90.000000,bottom
"C21","0.1uF","C_0402_1005Metric",-177.380000,-92.280000,-90.000000,bottom
"C23","0.1uF","C_0402_1005Metric",-176.850000,-99.780000,90.000000,bottom
"C35","0.1uF","C_0402_1005Metric",-181.640000,-92.290000,-90.000000,bottom
"C36","0.1uF","C_0402_1005Metric",-178.410000,-92.280000,-90.000000,bottom
"C37","0.1uF","C_0402_1005Metric",-174.040000,-103.750000,-90.000000,bottom
"C42","0.1uF","C_0402_1005Metric",-190.560000,-96.840000,180.000000,bottom
"C46","0.1uF","C_0402_1005Metric",-193.550000,-94.730000,90.000000,bottom
"C47","0.1uF","C_0402_1005Metric",-190.570000,-95.850000,180.000000,bottom
"C48","0.1uf","C_0402_1005Metric",-194.600000,-93.400000,-90.000000,bottom
"C49","0.1uF","C_0402_1005Metric",-191.080000,-93.400000,90.000000,bottom
"C50","0.1uF","C_0402_1005Metric",-191.070000,-100.210000,-90.000000,bottom
"C51","0.1uF","C_0402_1005Metric",-193.530000,-97.380000,-90.000000,bottom
"C53","0.1uF","C_0402_1005Metric",-193.990000,-100.360000,180.000000,bottom
