Ref,Val,Package,PosX,PosY,Rot,Side
"C2","100n","C_0402_1005Metric",202.500000,-93.870000,-90.000000,top
"C11","1nF","C_0402_1005Metric",139.150000,-87.900000,-90.000000,top
"C12","22pF","C_0402_1005Metric",174.900000,-85.300000,135.000000,top
"C13","22pF","C_0402_1005Metric",172.085589,-85.310589,45.000000,top
"C16","0.1uF","C_0402_1005Metric",184.950000,-100.200000,0.000000,top
"C18","0.1uF","C_0402_1005Metric",184.950000,-94.460000,0.000000,top
"C19","1uF","C_0402_1005Metric",164.975000,-90.750000,0.000000,top
"C22","0.1uF","C_0402_1005Metric",171.825000,-88.300000,90.000000,top
"C28","0.1uF","C_0402_1005Metric",142.490000,-106.040000,90.000000,top
"C29","0.1uF","C_0402_1005Metric",143.900000,-106.042830,90.000000,top
"C30","0.1uF","C_0402_1005Metric",166.970000,-106.250000,90.000000,top
"C31","0.1uF","C_0402_1005Metric",168.130000,-106.260000,90.000000,top
"C32","0.1uF","C_0402_1005Metric",198.310000,-81.410000,-90.000000,top
"C33","0.1uF","C_0402_1005Metric",196.940000,-81.400000,-90.000000,top
"C34","0.1uF","C_0402_1005Metric",184.950000,-99.100000,0.000000,top
"C38","0.1uF","C_0402_1005Metric",168.700000,-100.850000,180.000000,top
"C39","0.1uF","C_0402_1005Metric",168.700000,-98.050000,180.000000,top
"C40","0.1uF","C_0402_1005Metric",168.700000,-94.450000,180.000000,top
"C41","0.1uF","C_0402_1005Metric",200.025000,-102.650000,0.000000,top
"C43","0.1uF","C_0402_1005Metric",198.590000,-93.220000,0.000000,top
"C44","22pF","C_0402_1005Metric",200.025000,-101.415000,0.000000,top
"C45","22pF","C_0402_1005Metric",199.375000,-96.025000,180.000000,top
"C52","2.2uF","C_0402_1005Metric",197.400000,-103.490000,-90.000000,top
"C61","100n","C_0402_1005Metric",132.350000,-95.250000,90.000000,top
"C62","100n","C_0402_1005Metric",134.450000,-95.250000,90.000000,top
"C63","100n","C_0402_1005Metric",136.250000,-106.950000,-90.000000,top
"C64","100n","C_0402_1005Metric",135.200000,-106.950000,-90.000000,top
"C65","100n","C_0402_1005Metric",139.850000,-101.250000,0.000000,top
"C68","22p","C_0402_1005Metric",134.390000,-109.320000,-135.000000,top
"C69","100n","C_0402_1005Metric",128.300000,-105.100000,180.000000,top
"C71","22p","C_0402_1005Metric",130.390000,-109.070000,-45.000000,top
"C72","100n","C_0402_1005Metric",150.700000,-105.200000,-90.000000,top
"C73","100n","C_0402_1005Metric",157.650000,-105.150000,-90.000000,top
"C74","1u","C_0402_1005Metric",151.850000,-105.150000,-90.000000,top
"C75","1u","C_0402_1005Metric",156.500000,-105.150000,-90.000000,top
"C76","1u","C_0402_1005Metric",149.850000,-99.750000,180.000000,top
"C77","100n","C_0402_1005Metric",149.800000,-102.550000,180.000000,top
